/var/spool/slurmd/job54800/slurm_script: línea 11: /fhome/pmlai01/miniconda3/etc/profile.d/cuonda.sh: No existe el archivo o el directorio

CondaError: Run 'conda init' before 'conda activate'

2024-12-12 10:04:40.719540: I tensorflow/tsl/cuda/cudart_stub.cc:28] Could not find cuda drivers on your machine, GPU will not be used.
2024-12-12 10:04:40.781920: I tensorflow/core/platform/cpu_feature_guard.cc:182] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2024-12-12 10:04:41.849325: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
cuda
Using cuda device
Wrapping the env in a VecTransposeImage.
---------------------------------
| rollout/           |          |
|    policy_gradient_loss | -0.0117    |
|    value_loss           | 0.407      |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.05e+03   |
|    ep_rew_mean          | 356        |
| time/                   |            |
|    fps                  | 212        |
|    iterations           | 8          |
|    time_elapsed         | 309        |
|    total_timesteps      | 65536      |
| train/                  |            |
|    approx_kl            | 0.00814262 |
|    clip_fraction        | 0.0682     |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.68      |
|    explained_variance   | 0.607      |
|    learning_rate        | 4.94e-05   |
|    loss                 | 0.0825     |
|    n_updates            | 70         |
|    policy_gradient_loss | -0.0123    |
|    value_loss           | 0.474      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.05e+03    |
|    ep_rew_mean          | 368         |
| time/                   |             |
|    fps                  | 210         |
|    iterations           | 9           |
|    time_elapsed         | 349         |
|    total_timesteps      | 73728       |
| train/                  |             |
|    approx_kl            | 0.008204005 |
|    clip_fraction        | 0.0955      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.65       |
|    explained_variance   | 0.607       |
|    learning_rate        | 4.93e-05    |
|    loss                 | 0.14        |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.0146     |
|    value_loss           | 0.444       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.11e+03    |
|    ep_rew_mean          | 388         |
| time/                   |             |
|    fps                  | 210         |
|    iterations           | 10          |
|    time_elapsed         | 389         |
|    total_timesteps      | 81920       |
| train/                  |             |
|    approx_kl            | 0.008725842 |
|    clip_fraction        | 0.0797      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.59       |
|    explained_variance   | 0.596       |
|    learning_rate        | 4.93e-05    |
|    loss                 | 0.13        |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.013      |
|    value_loss           | 0.482       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.17e+03   |
|    ep_rew_mean          | 422        |
| time/                   |            |
|    fps                  | 209        |
|    iterations           | 11         |
|    time_elapsed         | 429        |
|    total_timesteps      | 90112      |
| train/                  |            |
|    approx_kl            | 0.00931216 |
|    clip_fraction        | 0.117      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.6       |
|    explained_variance   | 0.618      |
|    learning_rate        | 4.92e-05   |
|    loss                 | 0.281      |
|    n_updates            | 100        |
|    policy_gradient_loss | -0.016     |
|    value_loss           | 0.549      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.26e+03    |
|    ep_rew_mean          | 456         |
| time/                   |             |
|    fps                  | 209         |
|    iterations           | 12          |
|    time_elapsed         | 468         |
|    total_timesteps      | 98304       |
| train/                  |             |
|    approx_kl            | 0.010134871 |
|    clip_fraction        | 0.115       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.54       |
|    explained_variance   | 0.589       |
|    learning_rate        | 4.91e-05    |
|    loss                 | 0.132       |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.0177     |
|    value_loss           | 0.516       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.37e+03    |
|    ep_rew_mean          | 487         |
| time/                   |             |
|    fps                  | 209         |
|    iterations           | 13          |
|    time_elapsed         | 508         |
|    total_timesteps      | 106496      |
| train/                  |             |
|    approx_kl            | 0.010758139 |
|    clip_fraction        | 0.116       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.52       |
|    explained_variance   | 0.606       |
|    learning_rate        | 4.9e-05     |
|    loss                 | 0.225       |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.0164     |
|    value_loss           | 0.538       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.48e+03   |
|    ep_rew_mean          | 521        |
| time/                   |            |
|    fps                  | 209        |
|    iterations           | 14         |
|    time_elapsed         | 548        |
|    total_timesteps      | 114688     |
| train/                  |            |
|    approx_kl            | 0.00903932 |
|    clip_fraction        | 0.116      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.47      |
|    explained_variance   | 0.626      |
|    learning_rate        | 4.89e-05   |
|    loss                 | 0.248      |
|    n_updates            | 130        |
|    policy_gradient_loss | -0.0172    |
|    value_loss           | 0.53       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.59e+03    |
|    ep_rew_mean          | 564         |
| time/                   |             |
|    fps                  | 209         |
|    iterations           | 15          |
|    time_elapsed         | 587         |
|    total_timesteps      | 122880      |
| train/                  |             |
|    approx_kl            | 0.008786172 |
|    clip_fraction        | 0.101       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.44       |
|    explained_variance   | 0.557       |
|    learning_rate        | 4.89e-05    |
|    loss                 | 0.282       |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.0147     |
|    value_loss           | 0.693       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.7e+03     |
|    ep_rew_mean          | 603         |
| time/                   |             |
|    fps                  | 208         |
|    iterations           | 16          |
|    time_elapsed         | 627         |
|    total_timesteps      | 131072      |
| train/                  |             |
|    approx_kl            | 0.009981316 |
|    clip_fraction        | 0.103       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.42       |
|    explained_variance   | 0.579       |
|    learning_rate        | 4.88e-05    |
|    loss                 | 0.259       |
|    n_updates            | 150         |
|    policy_gradient_loss | -0.0165     |
|    value_loss           | 0.625       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.75e+03    |
|    ep_rew_mean          | 631         |
| time/                   |             |
|    fps                  | 208         |
|    iterations           | 17          |
|    time_elapsed         | 667         |
|    total_timesteps      | 139264      |
| train/                  |             |
|    approx_kl            | 0.010663558 |
|    clip_fraction        | 0.122       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.41       |
|    explained_variance   | 0.621       |
|    learning_rate        | 4.87e-05    |
|    loss                 | 0.249       |
|    n_updates            | 160         |
|    policy_gradient_loss | -0.0173     |
|    value_loss           | 0.735       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.78e+03    |
|    ep_rew_mean          | 652         |
| time/                   |             |
|    fps                  | 208         |
|    iterations           | 18          |
|    time_elapsed         | 707         |
|    total_timesteps      | 147456      |
| train/                  |             |
|    approx_kl            | 0.008924471 |
|    clip_fraction        | 0.0977      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.39       |
|    explained_variance   | 0.616       |
|    learning_rate        | 4.86e-05    |
|    loss                 | 0.338       |
|    n_updates            | 170         |
|    policy_gradient_loss | -0.0163     |
|    value_loss           | 0.731       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.79e+03    |
|    ep_rew_mean          | 670         |
| time/                   |             |
|    fps                  | 208         |
|    iterations           | 19          |
|    time_elapsed         | 747         |
|    total_timesteps      | 155648      |
| train/                  |             |
|    approx_kl            | 0.009477632 |
|    clip_fraction        | 0.109       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.37       |
|    explained_variance   | 0.706       |
|    learning_rate        | 4.85e-05    |
|    loss                 | 0.405       |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.0151     |
|    value_loss           | 0.614       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.78e+03    |
|    ep_rew_mean          | 683         |
| time/                   |             |
|    fps                  | 208         |
|    iterations           | 20          |
|    time_elapsed         | 786         |
|    total_timesteps      | 163840      |
| train/                  |             |
|    approx_kl            | 0.010272118 |
|    clip_fraction        | 0.11        |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.35       |
|    explained_variance   | 0.729       |
|    learning_rate        | 4.84e-05    |
|    loss                 | 0.253       |
|    n_updates            | 190         |
|    policy_gradient_loss | -0.0163     |
|    value_loss           | 0.628       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.73e+03    |
|    ep_rew_mean          | 692         |
| time/                   |             |
|    fps                  | 208         |
|    iterations           | 21          |
|    time_elapsed         | 825         |
|    total_timesteps      | 172032      |
| train/                  |             |
|    approx_kl            | 0.011476331 |
|    clip_fraction        | 0.105       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.31       |
|    explained_variance   | 0.745       |
|    learning_rate        | 4.84e-05    |
|    loss                 | 0.161       |
|    n_updates            | 200         |
|    policy_gradient_loss | -0.0161     |
|    value_loss           | 0.769       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.73e+03    |
|    ep_rew_mean          | 714         |
| time/                   |             |
|    fps                  | 208         |
|    iterations           | 22          |
|    time_elapsed         | 865         |
|    total_timesteps      | 180224      |
| train/                  |             |
|    approx_kl            | 0.009851448 |
|    clip_fraction        | 0.0992      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.27       |
|    explained_variance   | 0.794       |
|    learning_rate        | 4.83e-05    |
|    loss                 | 0.367       |
|    n_updates            | 210         |
|    policy_gradient_loss | -0.0149     |
|    value_loss           | 0.61        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.69e+03    |
|    ep_rew_mean          | 727         |
| time/                   |             |
|    fps                  | 208         |
|    iterations           | 23          |
|    time_elapsed         | 905         |
|    total_timesteps      | 188416      |
| train/                  |             |
|    approx_kl            | 0.009093774 |
|    clip_fraction        | 0.088       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.25       |
|    explained_variance   | 0.816       |
|    learning_rate        | 4.82e-05    |
|    loss                 | 0.197       |
|    n_updates            | 220         |
|    policy_gradient_loss | -0.014      |
|    value_loss           | 0.663       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.66e+03    |
|    ep_rew_mean          | 731         |
| time/                   |             |
|    fps                  | 208         |
|    iterations           | 24          |
|    time_elapsed         | 945         |
|    total_timesteps      | 196608      |
| train/                  |             |
|    approx_kl            | 0.009865406 |
|    clip_fraction        | 0.114       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.22       |
|    explained_variance   | 0.818       |
|    learning_rate        | 4.81e-05    |
|    loss                 | 0.16        |
|    n_updates            | 230         |
|    policy_gradient_loss | -0.0144     |
|    value_loss           | 0.671       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.64e+03    |
|    ep_rew_mean          | 738         |
| time/                   |             |
|    fps                  | 207         |
|    iterations           | 25          |
|    time_elapsed         | 984         |
|    total_timesteps      | 204800      |
| train/                  |             |
|    approx_kl            | 0.009917123 |
|    clip_fraction        | 0.113       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.18       |
|    explained_variance   | 0.796       |
|    learning_rate        | 4.8e-05     |
|    loss                 | 0.231       |
|    n_updates            | 240         |
|    policy_gradient_loss | -0.0146     |
|    value_loss           | 0.738       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.61e+03    |
|    ep_rew_mean          | 739         |
| time/                   |             |
|    fps                  | 207         |
|    iterations           | 26          |
|    time_elapsed         | 1024        |
|    total_timesteps      | 212992      |
| train/                  |             |
|    approx_kl            | 0.009381406 |
|    clip_fraction        | 0.102       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.16       |
|    explained_variance   | 0.832       |
|    learning_rate        | 4.8e-05     |
|    loss                 | 0.442       |
|    n_updates            | 250         |
|    policy_gradient_loss | -0.0132     |
|    value_loss           | 0.802       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.6e+03     |
|    ep_rew_mean          | 745         |
| time/                   |             |
|    fps                  | 207         |
|    iterations           | 27          |
|    time_elapsed         | 1063        |
|    total_timesteps      | 221184      |
| train/                  |             |
|    approx_kl            | 0.010212863 |
|    clip_fraction        | 0.121       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.15       |
|    explained_variance   | 0.811       |
|    learning_rate        | 4.79e-05    |
|    loss                 | 0.177       |
|    n_updates            | 260         |
|    policy_gradient_loss | -0.0156     |
|    value_loss           | 0.796       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.63e+03    |
|    ep_rew_mean          | 762         |
| time/                   |             |
|    fps                  | 207         |
|    iterations           | 28          |
|    time_elapsed         | 1103        |
|    total_timesteps      | 229376      |
| train/                  |             |
|    approx_kl            | 0.009224874 |
|    clip_fraction        | 0.0947      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.14       |
|    explained_variance   | 0.825       |
|    learning_rate        | 4.78e-05    |
|    loss                 | 0.264       |
|    n_updates            | 270         |
|    policy_gradient_loss | -0.0129     |
|    value_loss           | 0.789       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.63e+03    |
|    ep_rew_mean          | 772         |
| time/                   |             |
|    fps                  | 207         |
|    iterations           | 29          |
|    time_elapsed         | 1143        |
|    total_timesteps      | 237568      |
| train/                  |             |
|    approx_kl            | 0.010365408 |
|    clip_fraction        | 0.12        |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.15       |
|    explained_variance   | 0.82        |
|    learning_rate        | 4.77e-05    |
|    loss                 | 0.196       |
|    n_updates            | 280         |
|    policy_gradient_loss | -0.0159     |
|    value_loss           | 0.694       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.72e+03    |
|    ep_rew_mean          | 815         |
| time/                   |             |
|    fps                  | 207         |
|    iterations           | 30          |
|    time_elapsed         | 1183        |
|    total_timesteps      | 245760      |
| train/                  |             |
|    approx_kl            | 0.010124892 |
|    clip_fraction        | 0.112       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.12       |
|    explained_variance   | 0.781       |
|    learning_rate        | 4.76e-05    |
|    loss                 | 0.262       |
|    n_updates            | 290         |
|    policy_gradient_loss | -0.0156     |
|    value_loss           | 0.918       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.78e+03    |
|    ep_rew_mean          | 843         |
| time/                   |             |
|    fps                  | 207         |
|    iterations           | 31          |
|    time_elapsed         | 1223        |
|    total_timesteps      | 253952      |
| train/                  |             |
|    approx_kl            | 0.010643851 |
|    clip_fraction        | 0.118       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.13       |
|    explained_variance   | 0.813       |
|    learning_rate        | 4.75e-05    |
|    loss                 | 0.23        |
|    n_updates            | 300         |
|    policy_gradient_loss | -0.0155     |
|    value_loss           | 0.678       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.83e+03    |
|    ep_rew_mean          | 870         |
| time/                   |             |
|    fps                  | 207         |
|    iterations           | 32          |
|    time_elapsed         | 1263        |
|    total_timesteps      | 262144      |
| train/                  |             |
|    approx_kl            | 0.012374546 |
|    clip_fraction        | 0.125       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.12       |
|    explained_variance   | 0.779       |
|    learning_rate        | 4.75e-05    |
|    loss                 | 0.37        |
|    n_updates            | 310         |
|    policy_gradient_loss | -0.0177     |
|    value_loss           | 0.756       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.81e+03    |
|    ep_rew_mean          | 876         |
| time/                   |             |
|    fps                  | 207         |
|    iterations           | 33          |
|    time_elapsed         | 1302        |
|    total_timesteps      | 270336      |
| train/                  |             |
|    approx_kl            | 0.011124416 |
|    clip_fraction        | 0.107       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.09       |
|    explained_variance   | 0.797       |
|    learning_rate        | 4.74e-05    |
|    loss                 | 0.375       |
|    n_updates            | 320         |
|    policy_gradient_loss | -0.0134     |
|    value_loss           | 0.903       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.96e+03    |
|    ep_rew_mean          | 950         |
| time/                   |             |
|    fps                  | 207         |
|    iterations           | 34          |
|    time_elapsed         | 1342        |
|    total_timesteps      | 278528      |
| train/                  |             |
|    approx_kl            | 0.010532079 |
|    clip_fraction        | 0.119       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.06       |
|    explained_variance   | 0.78        |
|    learning_rate        | 4.73e-05    |
|    loss                 | 0.291       |
|    n_updates            | 330         |
|    policy_gradient_loss | -0.0148     |
|    value_loss           | 0.952       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.08e+03    |
|    ep_rew_mean          | 1.01e+03    |
| time/                   |             |
|    fps                  | 207         |
|    iterations           | 35          |
|    time_elapsed         | 1382        |
|    total_timesteps      | 286720      |
| train/                  |             |
|    approx_kl            | 0.011011393 |
|    clip_fraction        | 0.127       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.09       |
|    explained_variance   | 0.722       |
|    learning_rate        | 4.72e-05    |
|    loss                 | 0.343       |
|    n_updates            | 340         |
|    policy_gradient_loss | -0.0176     |
|    value_loss           | 0.738       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.08e+03    |
|    ep_rew_mean          | 1.02e+03    |
| time/                   |             |
|    fps                  | 207         |
|    iterations           | 36          |
|    time_elapsed         | 1421        |
|    total_timesteps      | 294912      |
| train/                  |             |
|    approx_kl            | 0.011780987 |
|    clip_fraction        | 0.126       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.06       |
|    explained_variance   | 0.681       |
|    learning_rate        | 4.71e-05    |
|    loss                 | 0.183       |
|    n_updates            | 350         |
|    policy_gradient_loss | -0.0165     |
|    value_loss           | 1.03        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.12e+03    |
|    ep_rew_mean          | 1.05e+03    |
| time/                   |             |
|    fps                  | 207         |
|    iterations           | 37          |
|    time_elapsed         | 1462        |
|    total_timesteps      | 303104      |
| train/                  |             |
|    approx_kl            | 0.010340005 |
|    clip_fraction        | 0.121       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.05       |
|    explained_variance   | 0.73        |
|    learning_rate        | 4.71e-05    |
|    loss                 | 0.387       |
|    n_updates            | 360         |
|    policy_gradient_loss | -0.0157     |
|    value_loss           | 1.07        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.09e+03    |
|    ep_rew_mean          | 1.04e+03    |
| time/                   |             |
|    fps                  | 207         |
|    iterations           | 38          |
|    time_elapsed         | 1503        |
|    total_timesteps      | 311296      |
| train/                  |             |
|    approx_kl            | 0.012407748 |
|    clip_fraction        | 0.132       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.05       |
|    explained_variance   | 0.754       |
|    learning_rate        | 4.7e-05     |
|    loss                 | 0.266       |
|    n_updates            | 370         |
|    policy_gradient_loss | -0.0166     |
|    value_loss           | 0.967       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.13e+03    |
|    ep_rew_mean          | 1.07e+03    |
| time/                   |             |
|    fps                  | 206         |
|    iterations           | 39          |
|    time_elapsed         | 1543        |
|    total_timesteps      | 319488      |
| train/                  |             |
|    approx_kl            | 0.012513547 |
|    clip_fraction        | 0.134       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.03       |
|    explained_variance   | 0.772       |
|    learning_rate        | 4.69e-05    |
|    loss                 | 0.351       |
|    n_updates            | 380         |
|    policy_gradient_loss | -0.0168     |
|    value_loss           | 1.05        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2.15e+03   |
|    ep_rew_mean          | 1.08e+03   |
| time/                   |            |
|    fps                  | 206        |
|    iterations           | 40         |
|    time_elapsed         | 1583       |
|    total_timesteps      | 327680     |
| train/                  |            |
|    approx_kl            | 0.01280364 |
|    clip_fraction        | 0.128      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.02      |
|    explained_variance   | 0.748      |
|    learning_rate        | 4.68e-05   |
|    loss                 | 0.335      |
|    n_updates            | 390        |
|    policy_gradient_loss | -0.015     |
|    value_loss           | 0.987      |
----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 2.04e+03  |
|    ep_rew_mean          | 1.03e+03  |
| time/                   |           |
|    fps                  | 206       |
|    iterations           | 41        |
|    time_elapsed         | 1622      |
|    total_timesteps      | 335872    |
| train/                  |           |
|    approx_kl            | 0.0124992 |
|    clip_fraction        | 0.135     |
|    clip_range           | 0.2       |
|    entropy_loss         | -1.01     |
|    explained_variance   | 0.734     |
|    learning_rate        | 4.67e-05  |
|    loss                 | 0.212     |
|    n_updates            | 400       |
|    policy_gradient_loss | -0.0176   |
|    value_loss           | 1.02      |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.13e+03    |
|    ep_rew_mean          | 1.08e+03    |
| time/                   |             |
|    fps                  | 206         |
|    iterations           | 42          |
|    time_elapsed         | 1662        |
|    total_timesteps      | 344064      |
| train/                  |             |
|    approx_kl            | 0.012388391 |
|    clip_fraction        | 0.138       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.01       |
|    explained_variance   | 0.689       |
|    learning_rate        | 4.66e-05    |
|    loss                 | 0.197       |
|    n_updates            | 410         |
|    policy_gradient_loss | -0.0149     |
|    value_loss           | 1.01        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.07e+03    |
|    ep_rew_mean          | 1.06e+03    |
| time/                   |             |
|    fps                  | 206         |
|    iterations           | 43          |
|    time_elapsed         | 1702        |
|    total_timesteps      | 352256      |
| train/                  |             |
|    approx_kl            | 0.013575118 |
|    clip_fraction        | 0.136       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.97       |
|    explained_variance   | 0.65        |
|    learning_rate        | 4.66e-05    |
|    loss                 | 0.27        |
|    n_updates            | 420         |
|    policy_gradient_loss | -0.0166     |
|    value_loss           | 1.15        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.19e+03    |
|    ep_rew_mean          | 1.12e+03    |
| time/                   |             |
|    fps                  | 206         |
|    iterations           | 44          |
|    time_elapsed         | 1742        |
|    total_timesteps      | 360448      |
| train/                  |             |
|    approx_kl            | 0.012435423 |
|    clip_fraction        | 0.133       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.968      |
|    explained_variance   | 0.669       |
